customer_id,name,email,country,age,signup_date,marketing_opt_in
1,Jennifer Salinas,nicholas59@example.org,JP,71,2020-09-04,True
2,Phillip Ramos,christinarubio@example.com,IN,26,2020-04-05,False
3,Dawn Fowler,jessica03@example.org,BR,21,2023-08-31,True
4,Mario Butler,paula27@example.org,FR,63,2022-06-30,True
5,Amber Brown,kevin85@example.net,BR,19,2022-07-22,True
6,Kevin Chapman,michaelpoole@example.org,US,28,2020-10-21,False
7,Timothy Sanchez,shannonbrown@example.org,IN,48,2025-07-24,False
8,Rachael Morales,tammy08@example.com,GB,33,2022-10-09,True
9,Laura Guzman,awright@example.org,US,32,2024-07-29,True
10,Alexander Lopez,brianmaxwell@example.org,JP,39,2023-01-13,True
11,Mary Gonzalez,mgonzalez@example.net,MX,68,2022-01-11,True
12,Margaret Li,williambrown@example.net,US,70,2021-05-16,False
13,Steve Logan,brookssamuel@example.com,AU,41,2023-08-13,True
14,Matthew Thompson,greendawn@example.org,SG,28,2021-01-13,True
15,Paul Neal,jennifer48@example.net,AU,52,2020-06-14,True
16,Richard Mills,kenneth31@example.net,JP,51,2023-06-20,False
17,David Young,shirleyreese@example.com,US,31,2025-05-15,True
18,James Burke,osolomon@example.net,IN,45,2020-02-12,False
19,Dr. Kimberly Kennedy,mathewssamuel@example.net,AU,57,2021-07-01,False
20,Stephen Mccormick,edean@example.net,AE,33,2022-06-02,True
21,Brianna Johnson,howellevan@example.org,US,73,2020-03-26,True
22,Amanda Taylor,terryjillian@example.org,AU,59,2022-03-17,False
23,Pamela Gonzalez,hobbskatelyn@example.net,US,22,2025-01-10,False
24,Ashley Harris,johnsonstacy@example.net,GB,22,2023-04-30,False
25,Paul Chen,ggarcia@example.net,US,41,2024-07-22,True
26,Francis Coleman,bellsarah@example.org,US,49,2024-09-27,False
27,Isabel Flores,nyork@example.net,IN,35,2024-05-04,False
28,Jason Graham,reedjanet@example.net,US,24,2023-10-30,True
29,Michelle Carey,george08@example.org,FR,62,2023-05-11,True
30,Paul Brown,travis72@example.com,MX,47,2020-10-21,True
31,Tina Robertson,justinlewis@example.net,US,71,2021-10-02,False
32,Christopher Mcmillan,henryvickie@example.net,MX,69,2020-11-27,True
33,Lori Kelly,vmcfarland@example.org,GB,18,2022-11-08,False
34,Matthew Watson,jose88@example.org,MX,28,2020-08-13,False
35,Stephen Hall,mmartinez@example.net,PL,60,2025-08-17,True
36,Maria Bailey,aimee78@example.net,US,24,2020-05-21,False
37,Joel Norris,beth25@example.com,FR,59,2020-06-26,True
38,Melissa Romero,kevin92@example.net,CA,22,2024-12-18,True
39,David Nguyen,eugene53@example.com,MX,26,2022-04-13,False
40,Monica Garcia,gonzalezedward@example.org,DE,64,2023-01-09,True
41,Morgan Graham,danielpruitt@example.com,BR,34,2023-02-21,True
42,James Johnson,bdickerson@example.net,NL,25,2021-05-31,False
43,William Phillips,thomascassandra@example.com,GB,42,2021-05-30,False
44,David Farrell,qsingleton@example.net,CA,30,2020-04-03,False
45,Sherry May,erinmay@example.com,MX,33,2023-04-08,False
46,David Haynes,zsanchez@example.net,GB,18,2024-01-05,True
47,Brooke Atkinson,ngibson@example.com,DE,41,2025-08-23,True
48,Mary Salas,kimberly67@example.org,ES,49,2020-04-01,True
49,Joshua Martin,aprilgarcia@example.net,SE,49,2023-11-30,True
50,Daniel Alvarez,fowlermaria@example.net,ES,29,2020-12-31,False
51,Patrick Bryant,philipfarmer@example.org,FR,25,2023-08-16,True
52,Lisa Walsh,joshua60@example.org,DE,48,2022-04-06,True
53,Thomas Fuller,betty13@example.com,SE,22,2022-11-17,True
54,Teresa Rose,virginiayu@example.com,AE,54,2024-02-12,False
55,Carl Frank,taylorhart@example.org,US,45,2023-03-14,True
56,Brianna Wade,smcdonald@example.net,NL,50,2022-01-14,False
57,Penny Harrison,josephbennett@example.com,US,48,2021-10-21,True
58,Miss Karen Trujillo,michael45@example.com,BR,26,2023-12-03,True
59,Mr. Bradley Prince,sarahdickerson@example.org,AU,24,2023-11-08,True
60,Justin Nguyen,alyssareed@example.net,BR,22,2025-08-21,True
61,Adam Lynn,john19@example.org,ES,29,2024-01-15,True
62,Charlene Hayes,jasonpowell@example.net,IN,50,2025-05-03,False
63,Steven Franklin,barnettpatricia@example.net,ES,65,2025-06-22,True
64,Christina Schwartz,harmonsamuel@example.org,GB,49,2025-07-07,False
